unitid,pell_pct_of_cohort
151333,0.4832089552238806
151342,0.4641975308641975
151351,0.18777905345069523
151360,0.4444444444444444
151379,0.473621103117506
151388,0.5103857566765578
151777,0.4025641025641026
151786,0.3355263157894737
151801,0.30161054172767204
151810,1
151962,0.967741935483871
152080,0.09845077461269365
152099,0.5263157894736842
152318,0.10313075506445672
152336,0.43023255813953487
152381,0.5441176470588235
152390,0.25059665871121717
152530,0.19111969111969113
152567,0.3382978723404255
152600,0.3076923076923077
152637,0.5384615384615384
152673,0.23404255319148937
152992,0.4594594594594595
153001,0.336322869955157
153108,0.27531645569620256
153126,0.3651685393258427
153144,0.3660477453580902
153162,0.25
153241,0
153250,0.2336182336182336
153269,0.17433751743375175
153278,0.5251141552511416
153302,0.3333333333333333
153320,0.5319148936170213
153366,0.5259515570934256
153375,0.35714285714285715
153384,0.19457013574660634
153603,0.2101766326365257
153658,0.1971511147811726
153825,0.268733850129199
153834,0.1926163723916533
153861,0.7
153977,0.5
154004,0.30997304582210244
154013,0.3922413793103448
154022,0.6880355442716598
154095,0.2594970572498662
154101,0.2
154235,0.2505592841163311
154350,0.2670807453416149
154493,0.0759493670886076
154518,0.38190954773869346
154527,0.2596685082872928
154590,0.5487012987012987
154688,0.3131868131868132
154712,0.2047244094488189
154721,0.5279503105590062
154749,0.4806201550387597
154855,0.7416666666666667
155025,0.3625170998632011
155061,0.40534262485482
155070,0.5757575757575758
155089,0.3353658536585366
155177,0.4166666666666667
155308,1
155317,0.23342438539855973
155335,0.3924050632911392
155399,0.2109111361079865
155414,0.43670886075949367
155496,0.34328358208955223
155511,0.3697916666666667
155520,0.5297297297297298
155627,0.5263157894736842
155681,0.3603960396039604
155812,0.42962962962962964
155900,0.33707865168539325
155937,0.45323741007194246
155973,0.4066666666666667
156082,0.3784977908689249
156125,0.3914759273875296
156189,0.47643979057591623
156213,0.3054662379421222
156286,0.297029702970297
156295,0.8813953488372093
156356,0.5474452554744526
156365,0.5042918454935622
156408,0.18716577540106952
156417,0.9375
156541,0.5288683602771362
156620,0.42863002461033634
156745,0.40070921985815605
157030,0.5833333333333334
157058,0.6705882352941176
157076,0.4972375690607735
157085,0.23782515157441814
157100,0.5420560747663551
157216,0.638671875
157289,0.32028603688370344
157377,0.4782608695652174
157386,0.5080174927113703
157401,0.3694004135079256
157447,0.3480825958702065
157535,0.6457564575645757
157757,0.49162011173184356
157809,0.4157303370786517
157818,0.22727272727272727
157863,0.6056338028169014
157951,0.32829771554900516
158477,0.39490445859872614
158802,0.831081081081081
159009,0.8508914100486223
159382,0.41700404858299595
159391,0.23377318116975748
159416,0.4899135446685879
159568,0.5804878048780487
159647,0.324295010845987
159656,0.35454545454545455
159717,0.38547904191616766
159939,0.4983425414364641
159948,0
159966,0.4071111111111111
159993,0.42867540029112083
160038,0.5004299226139295
160065,0.4819277108433735
160074,0.5873015873015873
160409,0.05263157894736842
160612,0.4437609841827768
160621,0.7892948173322005
160630,0.8770949720670391
160658,0.37094723458359824
160755,0.09254947613504075
160904,0.6061151079136691
160959,0.2839506172839506
160977,0.10077519379844961
161004,0.13855421686746988
161086,0.07677165354330709
161217,0.7102272727272727
161226,0.46756152125279643
161235,0.45652173913043476
161253,0.380301602262017
161299,0.24757281553398058
161341,0.5340909090909091
161457,0.25565217391304346
161509,0.3761467889908257
161518,0.34980988593155893
161554,0.46444780635400906
161563,0.5444015444015444
161572,0.36363636363636365
161873,0.48175182481751827
162007,0.5617173524150268
162061,0.4634146341463415
162210,0.2589928057553957
162283,0.6859504132231405
162584,0.42749731471535984
162654,0.2268041237113402
162760,0.31640625
162928,0.12665684830633284
163046,0.1629485935984481
163204,0.4966442953020134
163268,0.23216601815823606
163286,0.14011127971674253
163295,0.18427518427518427
163338,0.6172106824925816
163453,0.5651423641069888
163462,0.2509881422924901
163532,0.08823529411764706
163578,0.4731182795698925
163851,0.20675105485232068
163912,0.20865139949109415
163976,0.0784313725490196
164076,0.25277161862527714
164155,0
164173,0.3528610354223433
164216,0.1969309462915601
164270,0.3706293706293706
164368,0
164447,0.543026706231454
164465,0.21052631578947367
164492,0.49137931034482757
164562,0.19824561403508772
164580,0.17142857142857143
164614,0.5
164632,0.5730337078651685
164739,0.12349726775956284
164748,0.16385302879841113
164872,0.22727272727272727
164924,0.12
164988,0.13318534961154274
165015,0.16458852867830423
165024,0.3272971160295104
165167,0.42857142857142855
165334,0.23458646616541354
165529,0.345
165574,0.36683417085427134
165644,0.47706422018348627
165662,0.1739606126914661
165671,0.2756756756756757
165699,0.14394904458598726
165802,0.5
165820,0.37516005121638923
165866,0.37841043890865955
165936,0.2540045766590389
166018,0.2891891891891892
166027,0.15922798552472858
166054,0.3225806451612903
166124,0.15311653116531165
166391,0.33537832310838445
166452,0.2956989247311828
166513,0.24450031426775612
166629,0.17923308918569583
166638,0.4575718015665796
166656,0.37791932059447986
166674,0.3047945205479452
166683,0.15732368896925858
166692,0.17894736842105263
166850,0.18984280532043532
166911,0.3950617283950617
166939,0.1640625
167057,0.12790697674418605
167260,0.43034055727554177
167288,0.44981412639405205
167358,0.14091072068841878
167394,0.46153846153846156
167598,0.41353383458646614
167729,0.40850277264325324
167783,0.346072186836518
167835,0.1921182266009852
167899,0.2509157509157509
167987,0.43874643874643876
167996,0.19207317073170732
168005,0.3159090909090909
168148,0.09948415622697127
168218,0.20236087689713322
168227,0.2564901349948079
168254,0.27816411682892905
168263,0.33230054221533695
168281,0.23501199040767387
168342,0.21960072595281308
168421,0.13632204940530648
168430,0.29638854296388545
168528,0.38571428571428573
168546,0.35604395604395606
168591,0.36904761904761907
168740,0.3372093023255814
168786,0.3451086956521739
168847,0.6276150627615062
169080,0.267590618336887
169248,0.32945285215366704
169327,0
169363,0.39473684210526316
169442,0.33204633204633205
169479,0.37557603686635943
169716,0.3081510934393638
169798,0.5154602951510893
169910,0.3152
169983,0.24193548387096775
170000,0.5
170037,0.36610169491525424
170082,0.29577120508433147
170091,0.5227272727272727
170301,0.18089171974522292
170444,0.4
170532,0.18681318681318682
170639,0.39313984168865435
170675,0.2735294117647059
170806,0.3142857142857143
170967,0.4214876033057851
170976,0.1472970738965118
171100,0.22835649623868418
171128,0.2627450980392157
171137,0.39416058394160586
171146,0.4889267461669506
171456,0.2927536231884058
171483,0.25
171492,0.3005952380952381
171571,0.3295894655305964
171599,0.4957983193277311
171881,0.15789473684210525
172033,0.3333333333333333
172051,0.33161953727506427
172264,0.41721854304635764
172334,0.40344827586206894
172644,0.4592496765847348
172699,0.36610169491525424
172866,0.2
173045,0.4549266247379455
173124,0.297111416781293
173142,0.3880597014925373
173160,0.27154471544715447
173258,0.15478615071283094
173300,0.225
173328,0.4410480349344978
173452,0.36257309941520466
173647,0.265139116202946
173665,0.3607843137254902
173902,0.14604810996563575
173920,0.296343001261034
174020,0.7808219178082192
174066,0.18696785403996524
174075,0.3333333333333333
174127,0.42758620689655175
174154,0.8333333333333334
