unitid,rpp
234030,97.988
199193,97.989
199759,97.989
169716,98.007
171571,98.007
172644,98.007
174817,98.417
164447,98.422
167899,98.422
168254,98.422
210739,98.441
213543,98.441
234076,98.593
149222,98.855
190415,98.924
136172,99.216
102614,99.362
445188,99.517
126614,99.851
231174,100.04
225414,100.22
225511,100.22
227526,100.22
227757,100.22
227863,100.22
229063,100.22
133881,100.838
167987,100.862
217156,100.862
217484,100.862
138947,100.933
139658,100.933
139755,100.933
139940,100.933
141334,100.933
486840,100.933
235316,101.031
132903,101.109
165334,102.015
168421,102.015
186131,102.07
143118,102.557
144050,102.557
144740,102.557
145600,102.557
145725,102.557
146719,102.557
147536,102.557
147703,102.557
147767,102.557
148487,102.557
148584,102.557
149514,102.557
152600,102.557
433660,102.565
129020,102.568
129525,102.568
162928,102.672
163268,102.672
163453,102.672
224226,103.293
224554,103.293
227216,103.293
228246,103.293
228769,103.293
228787,103.293
228875,103.293
229160,103.293
229179,103.293
137032,103.433
137351,103.433
209551,103.481
130226,103.502
130794,103.502
130943,103.547
131113,103.547
184782,103.547
186371,103.547
212054,103.547
212832,103.547
213011,103.547
213367,103.547
215062,103.547
216339,103.547
216366,103.547
216597,103.547
216764,103.547
216852,103.547
161457,103.597
110556,103.988
173160,104.509
174066,104.509
174914,104.509
175005,104.509
182670,105.345
126562,105.49
126775,105.49
127060,105.49
127918,105.49
104151,105.524
104717,105.524
209542,106.358
128744,106.486
129242,106.486
130253,106.486
208822,106.615
209612,106.615
209807,106.615
120883,107.42
190044,107.626
110510,107.929
110671,107.929
166629,108.238
236939,108.562
141565,108.609
131159,108.641
131283,108.641
131450,108.641
131469,108.641
131496,108.641
131520,108.641
162061,108.641
163286,108.641
232186,108.641
232706,108.641
110644,108.888
141574,110.246
110680,111.491
122409,111.491
122436,111.491
164924,111.574
164988,111.574
165015,111.574
166027,111.574
166452,111.574
166513,111.574
166638,111.574
166683,111.574
167358,111.574
167783,111.574
168005,111.574
168148,111.574
183044,111.574
132471,111.824
133669,111.824
133951,111.824
135081,111.824
135726,111.824
136215,111.824
136330,111.824
137476,111.824
185262,112.473
185590,112.473
185828,112.473
186380,112.473
186399,112.473
186584,112.473
186867,112.473
188429,112.473
190150,112.473
190567,112.473
190761,112.473
191241,112.473
191649,112.473
192448,112.473
193654,112.473
193900,112.473
194310,112.473
195809,112.473
196097,112.473
196592,112.473
197708,112.473
110714,112.59
122931,112.867
243744,112.867
236577,112.991
236595,112.991
236948,112.991
110705,113.488
109785,115.455
110097,115.455
110404,115.455
110565,115.455
110583,115.455
110653,115.455
110662,115.455
111948,115.455
112075,115.455
117140,115.455
117751,115.455
117946,115.455
121150,115.455
123961,115.455
110574,118.225
110635,118.225
122597,118.225
122612,118.225
